antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Binders, Paper",Storage,0.05424624136529866,0.15522145469321413,0.010564811052417716,0.1947565543071161,1.2547012569366827,1.0,0.0021446305560568514,1.0490970771949388,0.21464099809964468,0.05311542390194076,0.04679936515142509,0.1314096907661235
"Binders, Paper",Phones,0.05424624136529866,0.16314506298252743,0.010767980495733442,0.19850187265917602,1.2167200712683242,1.0,0.0019179740316264075,1.0441134027274075,0.18833471819711003,0.05211406096361849,0.04224962787775294,0.13225218165960045
"Paper, Phones",Binders,0.03433563592035758,0.2622917513206014,0.010767980495733442,0.3136094674556213,1.19565127716233,1.0,0.0017620264174763034,1.074764603679469,0.16945404888273144,0.037668798862828715,0.06956370113372842,0.17733145719798882
"Binders, Phones",Paper,0.039618041446566436,0.23628606257618853,0.010767980495733442,0.2717948717948718,1.1502788985162158,1.0,0.0014067894753440145,1.0487620971665015,0.13603506152931183,0.04061302681992338,0.0464949079474219,0.15868333443569899
"Paper, Storage",Binders,0.0353514831369362,0.2622917513206014,0.010564811052417716,0.29885057471264376,1.139382284070978,1.0,0.0012924086286500124,1.0521412727066835,0.12681452919447866,0.03680113234253361,0.04955729240860162,0.16956471415725138
Fasteners,Paper,0.04307192198293377,0.23628606257618853,0.011580658268996343,0.2688679245283019,1.1378915946073103,1.0,0.0014033634160601442,1.0445635789280519,0.12663612321674675,0.04324734446130501,0.04266239013788292,0.15893955125813203
"Binders, Storage",Paper,0.039618041446566436,0.23628606257618853,0.010564811052417716,0.26666666666666666,1.1285755230725136,1.0,0.0012036200320282887,1.0414280964870155,0.11862703617516401,0.03981623277182237,0.03978008335550236,0.15568930925766694
Labels,Storage,0.06907761072734661,0.15522145469321413,0.011986997155627793,0.17352941176470585,1.1179473360024637,1.0,0.001264669931797479,1.0221519765277836,0.1133321989509429,0.05645933014354067,0.02167190108366576,0.1253772713273791
Fasteners,Binders,0.04307192198293377,0.2622917513206014,0.012393336042259244,0.28773584905660377,1.097006854420297,1.0,0.0010959261926112365,1.0357228392055133,0.09240889631408582,0.04230235783633842,0.0344907323207391,0.16749302135246918
Appliances,Binders,0.09020723283218204,0.2622917513206014,0.025599349857781388,0.28378378378378377,1.0819394142399563,1.0,0.0019387367764431042,1.0300077434391604,0.08324294434164888,0.07830950901180857,0.02913351247143587,0.1906912722172211
Tables,Phones,0.061357171881349044,0.16314506298252743,0.010564811052417716,0.17218543046357615,1.055413061944859,1.0,0.0005546913814052663,1.010920763917107,0.055935730935731016,0.04938271604938272,0.010802789206536005,0.11847129555557388
Appliances,Phones,0.09020723283218204,0.16314506298252743,0.015440877691995123,0.17117117117117114,1.049196145086556,1.0,0.0007240130101092666,1.0096836740102115,0.05153851578477217,0.06490179333902647,0.009590799831149398,0.13290812605881097
Phones,Art,0.16314506298252743,0.14628199918732224,0.02478667208451849,0.1519302615193026,1.0386121488861213,1.0,0.0009214861138927763,1.006660138990573,0.044424279329297586,0.08708065667380444,0.006616075011424894,0.16068735298187353
Art,Phones,0.14628199918732224,0.16314506298252743,0.02478667208451849,0.16944444444444443,1.0386121488861213,1.0,0.0009214861138927763,1.0075845395528098,0.043546788804706506,0.08708065667380444,0.007527447330797635,0.16068735298187353
Phones,Furnishings,0.16314506298252743,0.17370987403494514,0.029256399837464444,0.1793275217932752,1.0323392541128662,1.0,0.0009164914973464125,1.0068451762518043,0.037433236222384016,0.09511228533685599,0.006798638373862946,0.1738742872124271
Furnishings,Phones,0.17370987403494514,0.16314506298252743,0.029256399837464444,0.16842105263157894,1.0323392541128662,1.0,0.0009164914973464125,1.0063445445146821,0.03791185148758293,0.09511228533685599,0.006304545047980471,0.1738742872124271
Appliances,Paper,0.09020723283218204,0.23628606257618853,0.021942299878098336,0.24324324324324326,1.0294438892891173,1.0,0.0006275880162885591,1.0091934173100365,0.03143764577440326,0.07204803202134756,0.009109668327545452,0.16805326392600684
Labels,Phones,0.06907761072734661,0.16314506298252743,0.011580658268996343,0.1676470588235294,1.0275950479818328,1.0,0.0003109871162008688,1.0054087582542073,0.02884666927029493,0.052486187845303865,0.005379660968538893,0.11931543476668376
Appliances,Furnishings,0.09020723283218204,0.17370987403494514,0.0160503860219423,0.17792792792792791,1.0242821769137558,1.0,0.0003804989696229895,1.0051310025437927,0.026057066615408075,0.06475409836065572,0.005104809751969805,0.13516279437332068
Furnishings,Storage,0.17370987403494514,0.15522145469321413,0.027021535960991466,0.15555555555555556,1.002152414194299,1.0,5.80366187122941e-05,1.0003956457580359,0.0025993185570269577,0.08950201884253028,0.00039548928437818437,0.1648196625945317
Storage,Furnishings,0.15522145469321413,0.17370987403494514,0.027021535960991466,0.17408376963350786,1.002152414194299,1.0,5.80366187122941e-05,1.0004527040210804,0.0025424311138597007,0.08950201884253028,0.0004524991728855841,0.1648196625945317
